pk_localidade;cd_cep;nm_logradouro;nu_logradouro;nm_bairro;nm_municipio;sg_uf;vl_latitude;vl_longitude
25;36820000;RUA PRINCIPAL;SN;BOM JESUS;DIVINO;MG;-20,6155413;-42,1479013
26;28540000;RUA ANTONIO BEZERRA;51;JARDIM DE ALAH;CORDEIRO;RJ;-22,0150081;-42,3667954
27;37706226;RUA MARIA DE FATIMA BREVES FARIA;10;CONJUNTO HABITACIONAL PEDRO AFONSO JUNQUEIRA;POCOS DE CALDAS;MG;-21,8517298;-46,5626892
28;39830000;RUA SAO JOSE;2186;CENTRO;ITAMBACURI;MG;-18,0357064;-41,6763304
29;75200000;AVENIDA EGIDIO FRANC RODRIGUES;170;N SRA DE LOURDES;PIRES DO RIO;GO;-17,2925624;-48,2808382
30;88870000;PRACA CELSO RAMOS;215;CENTRO;ORLEANS;SC;-28,358643;-49,2882404
31;59215000;RUA MARECHAL DUTRA;168;CENTRO;NOVA CRUZ;RN;-6,4765904;-35,4337619
32;35164253;AVENIDA MACAPA;350;VENEZA;IPATINGA;MG;-19,4690991;-42,5314675
33;38500000;RUA UBERABA;86;LANGONI;MONTE CARMELO;MG;-18,7342524;-47,5038039
34;30670565;BR 40;;TREVO;BELO HORIZONTE;MG;-19,9636049;-43,9987026
35;11410000;LOCALIDADE EST GUARUJA BERTNIOGA;SN;PRAIA DO PEREQUE;GUARUJA;SP;-23,9949104;-46,2568758
36;07114350;RUA SAO JORGE;40;JARDIM SAO JORGE;GUARULHOS;SP;-23,532825;-46,5644398
37;13160970;RUA DOUTOR FERNANDO ARENS;450;VILA QUEIROZ;ARTUR NOGUEIRA;SP;-22,5759847;-47,1691736
38;36500000;RUA PROFESSOR ANTONIO AMARO;11;;UBA;MG;-21,1228179;-42,9444623
39;27321740;AVENIDA CRISTIANO REIS M FILHO;817;VISTA ALEGRE;BARRA MANSA;RJ;-22,5102889;-44,1958736
40;87010000;AVENIDA GETULIO VARGAS;266;ZONA 02;MARINGA;PR;-23,4214679;-51,9379627
41;03180000;RUA FERNANDO FALCAO;780;VILA CLAUDIA;SAO PAULO;SP;-23,5606155;-46,5870487
42;05449050;RUA ANDRADE FERNANDES;97;VILA MADALENA;SAO PAULO;SP;-23,544729;-46,7060488
43;21210002;AVENIDA VICENTE DE CARVALHO;1235;VICENTE DE CARVALHO;RIO DE JANEIRO;RJ;-22,8458096;-43,3027891
44;26285060;AVENIDA GOVERNADOR ROBERTO SILVEIRA;856;CENTRO;NOVA IGUACU;RJ;-22,7512714;-43,4558602
45;69068190;RUA 1;65;RAIZ;MANAUS;AM;-3,0801106;-60,0417936
46;12600350;AVENIDA THOMAS ALVES FIGUEIREDO;380;CIDADE INDUSTRIAL;LORENA;SP;-22,7472817;-45,1237085
47;88015100;AVENIDA PREFEITO OSMAR CUNHA;65;CENTRO;FLORIANOPOLIS;SC;-27,5948606;-48,5507802
48;85960000;RUA DARLEI BREGOLI;666;VON BORSTEL;MARECHAL CANDIDO RONDON;PR;-24,561499;-54,0707507
49;97650000;RUA D PEDRO II;1351;CENTRO;ITAQUI;RS;-29,1309317;-56,554686
50;24412000;RUA DOUTOR PIO BORGES;2805;SETE PONTES;SAO GONCALO;RJ;-22,8433703;-43,074181
51;20090000;AVENIDA RIO BRANCO;57;CENTRO;RIO DE JANEIRO;RJ;-22,9005479;-43,1789918
52;21051040;RUA UBIRACI;551;HIGIENOPOLIS;RIO DE JANEIRO;RJ;-22,8746607;-43,2655428
53;03371000;AVENIDA MONTEMAGNO;749;VILA FORMOSA;SAO PAULO;SP;-23,5685479;-46,5576039
54;02734000;AVENIDA ITABERABA;1407;NOSSA SENHORA DO O;SAO PAULO;SP;-23,4898121;-46,6944314
55;87308450;AVENIDA GUILHERME DE P XAVIER;373;VILA URUPES;CAMPO MOURAO;PR;-24,0446429;-52,390581
56;95860000;LOCALIDADE RINCAO PEDRO MARQUES;SN;PRIMEIRO DISTRITO;TAQUARI;RS;-29,7983861;-51,8655177
57;17440000;RUA IRMAS LIMA;475;CENTRO;UBIRAJARA;SP;-22,5289133;-49,6613697
58;88113650;RUA GERAL;SN;BARREIROS;SAO JOSE;SC;-27,5625988;-48,6381895
59;40301155;RUA JJ SEABRA;103;SANTANA;SALVADOR;BA;-12,9703817;-38,512382
60;60000000;RUA BARAO DE CANINDE;1340;MONTESE;FORTALEZA;CE;-3,768321;-38,5567258
61;13251370;AVENIDA PRUDENTE DE MORAES;316;VILA PRUDENTE DE MORAES;ITATIBA;SP;-23,0010262;-46,8372115
62;15042102;RUA XV DE NOVEMBRO;3280;CENTRO;SAO JOSE DO RIO PRETO;SP;-20,8143227;-49,381423
63;88015200;AVENIDA RIO BRANCO;155;CENTRO;FLORIANOPOLIS;SC;-27,5923849;-48,5567362
64;09771120;RUA PRINCESA MARIA AMELIA;560;NOVA PETROPOLIS;SAO BERNARDO DO CAMPO;SP;-23,7066929;-46,546192
65;38400108;RUA QUINTINO BOCAIUVA;512;CENTRO;UBERLANDIA;MG;-18,9175987;-48,275669
66;78043900;AVENIDA LAVA PES;500;DIQUE DE CAXIAS I;CUIABA;MT;-15,5880588;-56,111762
67;24742330;RUA CORNELIO JOSE PEREIRA;262;ALMERINDA;SAO GONCALO;RJ;-22,8421564;-43,0020084
68;89245000;RODOVIA BR 101;;ITAPOCU;ARAQUARI;SC;-26,3703229;-48,7232105
69;75900000;RUA ANA MOTA;857;VILA SANTO ANTONIO;RIO VERDE;GO;-17,8004986;-50,9261719
70;55560000;RUA OLIVEIRA LIMA;88;CENTRO;BARREIROS;PE;-8,8126287;-35,2015884
71;86181000;AVENIDA INGLATERRA;1018;CENTRO;CAMBE;PR;-23,278018;-51,281853
72;14085570;RUA PERNAMBUCO;1497;CAMPOS ELISEOS;RIBEIRAO PRETO;SP;-21,1622153;-47,7973491
73;28035175;AVENIDA PELINCA;47;CENTRO;CAMPOS DOS GOYTACAZES;RJ;-21,7622479;-41,3298071
74;15025070;RUA MARECHAL DEODORO;1342;PARQUE INDUSTRIAL;SAO JOSE DO RIO PRETO;SP;-20,8020025;-49,3934298
75;70296000;SQS;SN;PLANO PILOTO;BRASILIA;DF;-15,8183395;-47,8940017
76;04561004;RUA GUARARAPES;1909;BROOKLIN PAULISTA;SAO PAULO;SP;-23,6030172;-46,69353
77;78890000;RUA DAS ORQUIDEAS;190;BELA VISTA;SORRISO;MT;-12,5377318;-55,7324214
78;04532082;RUA JESUINO ARRUDA;644;ITAIM BIBI;SAO PAULO;SP;-23,5826041;-46,6766381
79;35180000;AVENIDA JK;1;FUNCIONARIOS;TIMOTEO;MG;-19,5488208;-42,6472252
80;48400000;RUA FERREIRA BRITO;38;CENTRO;RIBEIRA DO POMBAL;BA;-10,8392446;-38,5347833
81;27253510;RUA CAPITAO BENEDITO L BRAGANCA;113;SAO GERALDO;VOLTA REDONDA;RJ;-22,5127045;-44,0860529
82;77645000;AVENIDA PALMAS;2542;CENTRO;LAJEADO;TO;-9,7503704;-48,3569109
83;79785000;AVENIDA STEFAN DUDAS;88;CENTRO;ANGELICA;MS;-22,1518518;-53,7733626
84;57036540;RODOVIA AL 101;;RIACHO DOCE;MACEIO;AL;-9,592761;-35,6735845
85;90035072;AVENIDA INDEPENDENCIA;1010;INDEPENDENCIA;PORTO ALEGRE;RS;-30,0290073;-51,2109416
86;91140310;BECO JOSE PARIS;226;SARANDI;PORTO ALEGRE;RS;-29,9884481;-51,1163493
87;93280000;RUA 24 DE AGOSTO;1056;CENTRO;ESTEIO;RS;-29,8513747;-51,1667279
88;28060203;TRAVESSA ANTONIO BARRETO GOMES;32;PARQUE FUNDAO;CAMPOS DOS GOYTACAZES;RJ;-21,7325651;-41,3270942
89;13830000;RUA ATILIO BERGO;219;VILA ESPERANCA;SANTO ANTONIO DE POSSE;SP;-22,5995759;-46,919091
90;80060010;RUA MARECHAL DEODORO;950;CENTRO;CURITIBA;PR;-25,4290405;-49,2636146
91;75901551;AVENIDA PRESIDENTE VARGAS;73;JARDIM MARCONAL;RIO VERDE;GO;-17,7979971;-50,9382741
92;69305150;RUA VALERIO MAGALHAES;257;SAO FRANCISCO;BOA VISTA;RR;2,8291021;-60,6755082
93;24430380;AVENIDA EDSON;368;QUINTO;SAO GONCALO;RJ;-22,8676092;-43,0404242
94;96030000;AVENIDA DUQUE DE CAXIAS;170;FRAGATA;PELOTAS;RS;-31,7613314;-52,3594154
95;57038000;AVENIDA COMENDADOR GUSTAVO PAIVA;186;CRUZ DAS ALMAS;MACEIO;AL;-9,6558388;-35,7223266
96;18800000;AVENIDA SUBOFICIAL SEBASTIAO;929;JARDIM SAO CARLOS;PIRAJU;SP;-23,1934114;-49,3842072
97;09725680;AVENIDA REDENCAO;496;JARDIM DO MAR;SAO BERNARDO DO CAMPO;SP;-23,6957366;-46,5556241
98;50050200;RUA JOAO FERNANDES VIEIRA;584;BOA VISTA;RECIFE;PE;-8,0519717;-34,8932517
99;50020110;RUA TOBIAS BARRETO;354;SAO JOSE;RECIFE;PE;-8,0668193;-34,8820567
100;07082220;RUA CABO FRIO;17;JARDIM MOREIRA;GUARULHOS;SP;-23,43806;-46,5456997
101;24753560;RODOVIA AMARAL PEIXOTO;SN;VARZEA DAS MOCAS;SAO GONCALO;RJ;-22,8771488;-42,9958942
102;57025510;AVENIDA WALTER ANANIAS;720;POCO;MACEIO;AL;-9,6673712;-35,7216254
103;44900000;FAZENDA BOA ESPERANCA;SN;PARAISO;IRECE;BA;-11,303555;-41,8561503
104;84900000;AVENIDA PARANA;163;CENTRO;IBAITI;PR;-23,8141539;-50,1424783
105;96505700;RUA JACINTO GODOY GOMES;315;MARINA;CACHOEIRA DO SUL;RS;-30,0045264;-52,9142422
106;69880000;RUA INTENDENTE JOSE PEDRO;403;CENTRO;EIRUNEPE;AM;-6,6571401;-69,8667141
107;23810100;RUA ESTADOS UNIDOS;26;JARDIM AMERICA;ITAGUAI;RJ;-22,8704586;-43,7668825
108;20070022;RUA BUENOS AIRES;84;CENTRO;RIO DE JANEIRO;RJ;-22,9028437;-43,1793952
109;24800000;RUA CINCO;SN;MANILHAS;ITABORAI;RJ;-22,6848223;-42,8144356
110;01000000;RUA DOS TIMBIRAS;502;SANTA EFIGENIA;SAO PAULO;SP;-23,5413081;-46,6407848
111;17250000;RUA 7 DE SETEMBRO;758;CENTRO;BARIRI;SP;-22,0729024;-48,7434242
112;09780250;AVENIDA LUIZ PEQUINI;1489;SANTA TEREZINHA;SAO BERNARDO DO CAMPO;SP;-23,7112684;-46,5301728
113;13046480;AVENIDA NOVE;;VILA AEROPORTO;CAMPINAS;SP;-23,0329549;-47,1411623
114;36770022;RUA DOUTOR FRANCISCO DE BARROS;231;CENTRO;CATAGUASES;MG;-21,390039;-42,696098
115;52020070;RUA BARAO DE ITAMARACA;36;ESPINHEIRO;RECIFE;PE;-8,0427477;-34,8944242
116;61600000;RUA ANDIRA;1603;PARQUE POTIRA;CAUCAIA;CE;-3,7510258;-38,629891
117;35502027;RUA GOIAS;304;IPIRANGA;DIVINOPOLIS;MG;-20,1464408;-44,8885631
118;77330000;RUA DO COMERCIO;SN;;ARRAIAS;TO;-12,9291058;-46,9363137
119;77600000;RUA 7 DE SETEMBRO;;CENTRO;PARAISO DO TOCANTINS;TO;-10,1725901;-48,8839488
120;62410000;PRACA DA MATRIZ;SN;BARROQUINHA;BARROQUINHA;CE;-3,0208866;-41,1362161
121;81580000;AVENIDA SENADOR SALGADO FILHO;5165;UBERABA;CURITIBA;PR;-25,4875056;-49,223037
122;29460000;RUA LOURIVAL CAVICHINI;182;BELVEDERE;BOM JESUS DO NORTE;ES;-21,1177829;-41,6735255
123;36520000;AVENIDA SAO JOAO BATISTA;93;CENTRO;VISCONDE DO RIO BRANCO;MG;-21,0191141;-42,8405885
124;25685330;RUA IRMAOS D ANGELO;99;CENTRO;PETROPOLIS;RJ;-22,5089633;-43,1768613
125;01418200;ALAMEDA SANTOS;1800;CERQUEIRA CESAR;SAO PAULO;SP;-23,5611233;-46,6582099
126;60030160;RUA LIBERATO BARROSO;307;CENTRO;FORTALEZA;CE;-3,7273203;-38,5306034
127;35430375;RUA ANTONIO CARLOS;70;CENTRO;PONTE NOVA;MG;-20,4164011;-42,9076702
128;91010002;AVENIDA ASSIS BRASIL;2464;CRISTO REDENTOR;PORTO ALEGRE;RS;-30,010688;-51,1628285
129;01104001;RUA SAO CAETANO;241;LUZ;SAO PAULO;SP;-23,5347626;-46,6306938
130;14015100;RUA PRUDENTE DE MORAIS;764;CENTRO;RIBEIRAO PRETO;SP;-21,1810742;-47,8094094
131;91920530;RUA DOUTOR PEREIRA NETO;600;TRISTEZA;PORTO ALEGRE;RS;-30,1104692;-51,2466352
132;01000000;RUA ANTONIO J DE MEDEIROS;2;ITAIM PAULISTA;SAO PAULO;SP;-23,5020457;-46,3977438
133;87040360;AVENIDA TUIUTI;1319;VILA MORANGUEIRA;MARINGA;PR;-23,4166974;-51,905433
134;85853000;AVENIDA JUSCELINO KUBITSCHEK;3040;SEDE;FOZ DO IGUACU;PR;-25,5170351;-54,5846339
135;96030370;RUA MANUEL LUCAS DE OLIVEIRA;93;FRAGATA;PELOTAS;RS;-31,7655394;-52,358426
136;88370573;RUA JOSE FRANCISCO LAURINDO;1966;SAO DOMINGOS;NAVEGANTES;SC;-26,8786524;-48,6802543
137;86420000;RUA DOUTOR PAULA E SILVA;625;CENTRO;CARLOPOLIS;PR;-23,4268591;-49,719978
138;95300000;RUA ATILIO BONOTTO;345;VILA NUNES;LAGOA VERMELHA;RS;-28,2092212;-51,5256087
139;13184420;RUA LUIZ CAMILO DE CAMARGO;492;LOTEAMENTO REMANSO CAMPINEIRO;HORTOLANDIA;SP;-22,8645368;-47,2161432
140;88375000;RUA JOSE FRANCISCO LAURINDO;2169;SAO DOMINGOS;NAVEGANTES;SC;-26,8785707;-48,6825797
141;69340000;RUA PADRE RICARDO SILVESTRE;1317;CENTRO;MUCAJAI;RR;2,4400222;-60,9268394
142;68501580;RUA SERVULO BRITO;144;CIDADE NOVA;MARABA;PA;-5,3718087;-49,1249431
143;39508000;RUA PRESIDENTE VARGAS;1485;CENTRO;JAIBA;MG;-15,3545084;-43,6628755
144;99010022;AVENIDA GENERAL NETTO;554;CENTRO;PASSO FUNDO;RS;-28,2612222;-52,4081942
145;94940070;RUA COROADOS;263;VILA MONTE CARLO;CACHOEIRINHA;RS;-29,9365722;-51,0860124
146;74510020;AVENIDA HONESTINO GUIMARAES;214;CAMPINAS;GOIANIA;GO;-16,6719053;-49,2859288
147;52120320;RUA DAS MOCAS;752;ARRUDA;RECIFE;PE;-8,0245236;-34,8876107
148;36900000;RUA LEANDRO GONCALVES;302;;MANHUACU;MG;-20,2573742;-42,0356971
149;37950000;RUA NEUZA BORGES CUNHA;10;CONJ H MONS MANCINI;SAO SEBASTIAO DO PARAISO;MG;-20,9109406;-46,9870801
150;13405190;ESTRADA CHACARA AGUA SECA;SN;SERTAOZINHO;PIRACICABA;SP;-22,7419009;-47,5813184
151;75707360;RUA AMERICANO DO BRASIL;257;SAO FRANCISCO;CATALAO;GO;-18,1691651;-47,9418072
152;95680000;AVENIDA JOAO PESSOA;540;CENTRO;CANELA;RS;-29,3570065;-50,8075114
153;27511010;RUA EDUARDO COTRIM;517;LAVA PES;RESENDE;RJ;-22,4726187;-44,4429557
154;93214590;RUA VITALINO BATISTA DE ANDRADE;76;CENTRO;SAPUCAIA DO SUL;RS;-29,8229742;-51,1570713
155;88804050;RUA DOMENICO SONEGO;541;SANTA BARBARA;CRICIUMA;SC;-28,6873796;-49,3813193
156;35010040;RUA BARBARA HELIODORA;885;CENTRO;GOVERNADOR VALADARES;MG;-18,8574026;-41,9490726
157;78028610;AVENIDA BEIRA RIO;SN;CENTRO;CUIABA;MT;-15,6233588;-56,0906831
158;84940000;RUA RIO GRANDE DO SUL;SN;VILA BARBOSA;SIQUEIRA CAMPOS;PR;-23,6872493;-49,8260538
159;90620110;RUA SAO MANOEL;2104;RIO BRANCO;PORTO ALEGRE;RS;-30,0517754;-51,1994281
160;36950000;PRACA BENEDITO VALADARES;33;CENTRO;IPANEMA;MG;-19,7995283;-41,7168497
161;85884000;RUA PARANA;2040;CENTRO;MEDIANEIRA;PR;-25,2969353;-54,107998
162;09401010;ESTRADA DA QUINTA DIVISAO;84;B OURO F PAULISTA;RIBEIRAO PIRES;SP;-23,6837783;-46,3436469
163;21853480;AVENIDA ALVORADA;3000;BARRA DA TIJUCA;RIO DE JANEIRO;RJ;-23,0013325;-43,3660535
164;89240000;RUA FERNANDES DIAS;;CENTRO;SAO FRANCISCO DO SUL;SC;-26,2422321;-48,6381225
165;31985180;RUA DEZESSETE;71;DOM SILVERIO;BELO HORIZONTE;MG;-19,8262571;-43,9286062
166;15505171;RUA SANTA CATARINA;3521;PATRIMONIO VELHO;VOTUPORANGA;SP;-20,4218154;-49,9732971
167;69375000;AVENIDA SAO PAULO;SN;CENTRO;SAO JOAO DA BALIZA;RR;0,9494778;-59,9114715
168;30160010;RUA DA BAHIA;307;CENTRO;BELO HORIZONTE;MG;-19,9178505;-43,9352586
169;21853480;ESTRADA DO MANGUARIBA;23;SANTA CRUZ;RIO DE JANEIRO;RJ;-22,8773769;-43,6344967
170;06010000;RUA DONA PRIMITIVA VIANCO;1045;CENTRO;OSASCO;SP;-23,5376238;-46,7759351
171;89204251;RUA BLUMENAU;3040;AMERICA;JOINVILLE;SC;-26,2743272;-48,8509104
172;24474000;ESTRADA DA TRINDADE;SN;RECANTO DAS ACACIAS;SAO GONCALO;RJ;-22,8014308;-43,0185757
173;06700000;RUA ADIB AUADA;354;GRANJA VIANA;COTIA;SP;-23,5927078;-46,8327337
174;74645030;AVENIDA VEREADOR GERMINO ALVES;276;SETOR LESTE VILA NOVA;GOIANIA;GO;-16,6646824;-49,2466569
175;14015060;RUA FLORENCIO DE ABREU;1145;CENTRO;RIBEIRAO PRETO;SP;-21,1812865;-47,8054756
176;24440440;RUA DOUTOR FELICIANO SODRE;182;CENTRO;SAO GONCALO;RJ;-22,8239153;-43,0477664
177;39150000;RUA DOUTOR ANTONIO TOLENTINO;32;CENTRO;SERRO;MG;-18,6033652;-43,3790446
178;50760370;RUA JOSE BEZERRA CAVALCANTE;292;MUSTARDINHA;RECIFE;PE;-8,0720758;-34,9215487
179;30670565;AVENIDA AMAZONAS;885;CENTRO;BELO HORIZONTE;MG;-19,9213429;-43,9421514
180;68509240;LOCALIDADE FOLHA;27;NOVA MARABA;MARABA;PA;-5,3811357;-49,1331024
181;70310500;SIA QUADRA 7;74;SETOR DE IND E ABAST;BRASILIA;DF;-15,8471766;-47,9511968
182;36026300;RUA VIEIRA PENA;931;ALTO DOS PASSOS;JUIZ DE FORA;MG;-21,7807215;-43,3491857
183;96405050;RUA QUINHENTOS E DEZ;75;QUARTO DISTRITO;BAGE;RS;-31,3301424;-54,1004622
184;36420000;LOCALIDADE AREA DA ACOMINAS;SN;CENTRO DE TREINAM;OURO BRANCO;MG;-20,524712;-43,6930725
185;13301331;AVENIDA DOUTOR OCTAVIANO P MENDES;136;CENTRO;ITU;SP;-23,2621058;-47,2933132
186;04134021;RUA VIGARIO ALBERNAZ;784;VILA GUMERCINDO;SAO PAULO;SP;-23,6072634;-46,6209979
187;24346100;RUA MIGUEL COUTO;475;SANTA ROSA;NITEROI;RJ;-22,8999108;-43,1024852
188;87080000;AVENIDA MANDACARU;1272;VILA SANTA IZABEL;MARINGA;PR;-23,4036127;-51,9566396
189;36013210;RUA ROBERTO DE BARROS;91;CENTRO;JUIZ DE FORA;MG;-21,7545819;-43,3509932
190;65036750;AVENIDA 4;42;COHAB ANIL II;SAO LUIS;MA;-2,5419863;-44,2167093
191;12244000;AVENIDA SHISHIMA HIFUMI;2;URBANOVA;SAO JOSE DOS CAMPOS;SP;-23,2037663;-45,9463272
192;75813000;LOCALIDADE ROD GO;206;SETOR INDUSTRIAL;CACU;GO;-18,5598391;-51,1332652
193;60810300;AVENIDA WASHINGTON SOARES;2155;GUARARAPES;FORTALEZA;CE;-3,7776393;-38,4811404
194;37245000;LOCALIDADE CAPELA DO SACO;SN;ZONA RURAL;CARRANCAS;MG;-21,4871099;-44,6423753
195;65000000;RODOVIA BR 135;SN;MARACANA;SAO LUIS;MA;-2,5928193;-44,2449184
196;76590000;RUA ALAMEDA ARAGUAIA;SN;LUIZ ALVES;SAO MIGUEL DO ARAGUAIA;GO;-13,2633843;-50,1427224
197;84020000;RUA AFONSO CELSO;1347;UVARANAS;PONTA GROSSA;PR;-25,0821211;-50,1420339
198;70330000;CLS 102 BLOCO B;SN;ASA SUL;BRASILIA;DF;-15,8023159;-47,8889784
199;38407171;RUA CINCO;244;PLANALTO;UBERLANDIA;MG;-18,9155389;-48,310883
200;15061000;AVENIDA DOUTOR FERNANDO COSTA;736;VILA MACENO;SAO JOSE DO RIO PRETO;SP;-20,8047289;-49,3669436
201;39390000;RUA PADRE PEDRO;179;BOM FIM;BOCAIUVA;MG;-17,1069267;-43,8150433
202;86125000;RUA ARLINDO PEREIRA;330;CENTRO;TAMARANA;PR;-23,7258043;-51,0955586
203;18170000;RUA DAS MARGARIDAS;120;COTIANOS;PIEDADE;SP;-23,7240687;-47,4180577
204;49260000;RUA ANICETE LIMA;34;CENTRO;UMBAUBA;SE;-11,3811601;-37,6613985
205;87270000;RUA DOM PEDRO II;14;CENTRO;ENGENHEIRO BELTRAO;PR;-23,7914069;-52,2627247
206;30112000;RUA FERNANDES TOURINHO;103;FUNCIONARIOS;BELO HORIZONTE;MG;-19,9395222;-43,9356552
207;18900000;RUA OLIMPIO R PIMENTEL;16;CENTRO;SANTA CRUZ DO RIO PARDO;SP;-22,8870859;-49,6188411
208;04611050;RUA VISC DE CASTRO;289;INDIANOPOLIS;SAO PAULO;SP;-23,6171783;-46,6647816
209;38405305;AVENIDA BRASIL;4800;UMUARAMA;UBERLANDIA;MG;-18,8855117;-48,2559962
210;79002221;RUA ANTONIO MARIA COELHO;1724;CENTRO;CAMPO GRANDE;MS;-20,4567768;-54,6134946
211;32210000;RUA VASCO DE AZEVEDO;596;JARDIM INDUSTRIAL;CONTAGEM;MG;-19,9675946;-44,017423
212;31615250;AVENIDA VILARINHO;615;VENDA NOVA;BELO HORIZONTE;MG;-19,820839;-43,9497286
213;03737020;RUA GENTIL BRAGA;243;VILA BUENOS AIRES;SAO PAULO;SP;-23,510388;-46,5123532
214;36301180;AVENIDA LEITE DE CASTRO;538;FABRICAS;SAO JOAO DEL REI;MG;-21,125787;-44,2484774
215;22031000;RUA FIGUEIREDO MAGALHAES;885;COPACABANA;RIO DE JANEIRO;RJ;-22,9649633;-43,1904827
216;60000000;RUA PROFESSOR HENRIQUE FIRMEZA;900;CAIS DO PORTO;FORTALEZA;CE;-3,7212617;-38,4715697
217;19010071;RUA JOAQUIM NABUCO;566;CENTRO;PRESIDENTE PRUDENTE;SP;-22,1228228;-51,3874806
218;88304101;RUA HEITOR LIBERATO;1312;SAO JOAO;ITAJAI;SC;-26,9063384;-48,6714164
219;01446030;RUA HOLANDA;79;JARDIM EUROPA;SAO PAULO;SP;-23,5742999;-46,6742197
220;18550000;AVENIDA MARIO PEDRO VERCELLINO;361;CENTRO;BOITUVA;SP;-23,2860188;-47,6790285
221;93700000;RUA PAULITA;422;;CAMPO BOM;RS;-29,6695086;-51,054622
222;90220110;RUA PELOTAS;411;FLORESTA;PORTO ALEGRE;RS;-30,0240613;-51,2119018
223;12900005;B AGUA COMPRIDA;SN;BRAGANCA PAULISTA;BRAGANCA PAULISTA;SP;-22,9862209;-46,4537256
224;13417780;AVENIDA PIRACICAMIRIM;2313;PIRACICAMIRIM;PIRACICABA;SP;-22,7316496;-47,6355093
225;14030549;ESTACAO ROD SHOPPING CENTER;SN;VILA TIBERIO;RIBEIRAO PRETO;SP;-21,1704008;-47,8103238
226;13735008;RUA QUINTINO BOCAIUVA;436;BRAS;MOCOCA;SP;-21,4690934;-46,9993372
227;90830420;AVENIDA SAO SEBASTIAO;156;NONOAI;PORTO ALEGRE;RS;-30,0913174;-51,2238718
228;03105000;AVENIDA DO ESTADO;5749;MOOCA;SAO PAULO;SP;-23,5589222;-46,6144861
229;01301000;RUA DA CONSOLACAO;319;CONSOLACAO;SAO PAULO;SP;-23,5478653;-46,6444026
230;09900000;AVENIDA ANTONIO PIRANGA;3220;CANHEMA;DIADEMA;SP;-23,6799947;-46,5965769
231;75043040;RUA 14 DE JULHO;409;CENTRO;ANAPOLIS;GO;-16,3228979;-48,9579851
232;38706301;RUA PROFESSOR LAUMAR SANTOS;305;PLANALTO;PATOS DE MINAS;MG;-18,6299272;-46,4952496
233;20261030;RUA SALVADOR DE MENDONCA;51;RIO COMPRIDO;RIO DE JANEIRO;RJ;-22,9035393;-43,2095869
234;68555101;RUA BRASIL;470;CENTRO;XINGUARA;PA;-7,1047654;-49,9422172
